Pricing Date,MSAG | Share Price (Daily)($)
04/14/2023,1.8685425368212794
04/13/2023,1.834659593280283
04/12/2023,1.8006148440931047
04/11/2023,1.7900021829294914
04/06/2023,1.692694113792727
04/05/2023,1.6817735066069672
04/04/2023,1.7315068493150685
04/03/2023,1.7087505441880717
03/31/2023,1.6949152542372883
03/30/2023,1.7066521264994545
03/29/2023,1.7062073448163795
03/28/2023,1.691423614875854
03/27/2023,1.692722371967655
03/24/2023,1.6135972461273664
03/23/2023,1.6283629234288204
03/22/2023,1.640051791109193
03/21/2023,1.6254036598493002
03/20/2023,1.5854311730048207
03/17/2023,1.6416160324059266
03/16/2023,1.624203821656051
03/15/2023,1.612223393045311
03/14/2023,1.5916398713826367
03/13/2023,1.6357395688083234
03/10/2023,1.6744880546075085
03/09/2023,1.6924053310767928
03/08/2023,1.7274167987321714
03/07/2023,1.7082716310556376
03/06/2023,1.7248745060343906
03/03/2023,1.6747933008267966
03/02/2023,1.7391304347826086
03/01/2023,1.7289220917822838
02/28/2023,1.756900212314225
02/27/2023,1.7162835046085392
02/24/2023,1.719772103819371
02/23/2023,1.7796610169491527
02/22/2023,1.7541994471613864
02/21/2023,1.766086863728524
02/20/2023,1.7633857005450464
02/17/2023,1.780763489016848
02/16/2023,1.7453031596925703
02/15/2023,1.776758083448938
02/14/2023,1.770956316410862
02/13/2023,1.8004501125281318
02/10/2023,1.7193507048269971
02/09/2023,1.7471239651650359
02/08/2023,1.7755605621714408
02/07/2023,1.711229946524064
02/06/2023,1.8091045737599312
02/03/2023,1.839392295170917
02/02/2023,1.7986004810846272
02/01/2023,1.8233431597335952
01/31/2023,1.7975453459324426
01/30/2023,1.6954678839256603
01/27/2023,1.6663048198002606
01/26/2023,1.660336408030385
01/25/2023,1.7046073412482299
01/24/2023,1.6750054383293453
01/23/2023,1.6739130434782608
01/20/2023,1.6905071521456436
01/19/2023,1.6567728008634648
01/18/2023,1.6443098225876243
01/17/2023,1.6310218189673797
01/16/2023,1.682900432900433
01/13/2023,1.6931732121605538
01/12/2023,1.6928069226608977
01/11/2023,1.6772390065584344
01/10/2023,1.6058002148227715
01/09/2023,1.6066630843632457
01/06/2023,1.5814052218212693
01/05/2023,1.5526315789473684
01/04/2023,1.5644887568943573
01/03/2023,1.550469359772176
01/02/2023,1.555839727195226
12/30/2022,1.5710163513946778
12/29/2022,1.551172707889126
12/28/2022,1.5880603356702783
12/27/2022,1.5873015873015872
12/23/2022,1.6356877323420074
12/22/2022,1.6105107014197924
12/21/2022,1.591680814940577
12/20/2022,1.3815090329436772
12/19/2022,1.4852535539995755
12/16/2022,1.3784328279079632
12/15/2022,1.5156349712827057
12/14/2022,1.5130527437400105
12/13/2022,1.495794740764399
12/12/2022,1.5317401831771769
12/09/2022,1.5386236695120665
12/08/2022,1.5397595443999155
12/07/2022,1.5318434581890672
12/06/2022,1.5411319166841997
12/05/2022,1.5762925598991173
12/02/2022,1.5728216420257946
12/01/2022,1.5534795843392464
11/30/2022,1.4695266577291946
11/29/2022,1.5872195222831145
11/28/2022,1.5835929387331256
11/25/2022,1.616928356036186
11/24/2022,1.6127354073457498
11/23/2022,1.5756193635327045
11/22/2022,1.5875462392108508
11/21/2022,1.521516393442623
11/18/2022,1.5595854922279793
11/17/2022,1.497005988023952
11/16/2022,1.4875689170914386
11/15/2022,1.407645958861417
11/14/2022,1.4160206718346253
11/11/2022,1.3891757901260071
11/10/2022,1.4027241309209186
11/09/2022,1.2812782634911064
11/08/2022,1.3102197137673857
11/07/2022,1.3497300539892023
11/04/2022,1.3332672482157018
11/03/2022,1.3663868826859262
11/02/2022,1.4401262576445057
11/01/2022,1.4509920047379332
10/31/2022,1.4140215564125382
10/28/2022,1.2528587053793376
10/27/2022,1.4009806864805365
10/26/2022,1.3339373804490082
10/25/2022,1.2718204488778055
10/24/2022,1.2451823302697895
10/21/2022,1.245586504511573
10/20/2022,1.2485253637436098
10/19/2022,1.2326354920759148
10/18/2022,1.2722271342960998
10/17/2022,1.3000392464678177
10/14/2022,1.2279504921547606
10/13/2022,1.2303485987696514
10/12/2022,1.2175009701202948
10/11/2022,1.263976665046184
10/10/2022,1.2312166747455162
10/07/2022,1.2562322807703588
10/06/2022,1.316953316953317
10/05/2022,1.2866015971606033
10/04/2022,1.2906119194737888
10/03/2022,1.2592228234136744
09/30/2022,1.2747597568150617
09/29/2022,1.1965227583512406
09/28/2022,1.2680810028929606
09/27/2022,1.3294298329813783
09/26/2022,1.3023345552768668
09/23/2022,1.3563441905687896
09/22/2022,1.3695268014922444
09/21/2022,1.3773696682464458
09/20/2022,1.5832584157426828
09/19/2022,1.5865865865865867
09/16/2022,1.428141912206855
09/15/2022,1.4342828585707148
09/14/2022,1.45
09/13/2022,1.3608164898939366
09/12/2022,1.4030999898693142
09/09/2022,1.4056224899598393
09/08/2022,1.3556618819776713
09/07/2022,1.4528808836700169
09/06/2022,1.4016840019811787
09/05/2022,1.4136904761904763
09/02/2022,1.3643659711075442
09/01/2022,1.4559729676008746
08/31/2022,1.490583140296102
08/30/2022,1.4725032555344086
08/29/2022,1.4885114885114887
08/26/2022,1.554222888555722
08/25/2022,1.4999003388479168
08/24/2022,1.54659748553183
08/23/2022,1.5346930613877223
08/22/2022,1.5475716560509554
08/19/2022,1.536144578313253
08/18/2022,1.409021794221997
08/17/2022,1.4237770771890572
08/16/2022,1.3941182456497405
08/15/2022,1.4458812748192647
08/12/2022,1.4303291294986158
08/11/2022,1.3733994217265595
08/10/2022,1.443949901666494
08/09/2022,1.380791653881559
08/08/2022,1.3285641287685233
08/05/2022,1.4218972171440176
08/04/2022,1.4271099744245526
08/03/2022,1.403953370501774
08/02/2022,1.427551748750892
08/01/2022,1.489623998356277
07/29/2022,1.3718890248878008
07/28/2022,1.4429427903668326
07/27/2022,1.4842958459979738
07/26/2022,1.4632911392405061
07/25/2022,1.5317063208414174
07/22/2022,1.3238601512983028
07/21/2022,1.3192746536267317
07/20/2022,1.3112244897959182
07/19/2022,1.3004300634855621
07/18/2022,1.3117754728492983
07/15/2022,1.311806256306761
07/14/2022,1.3015618742490989
07/13/2022,1.3370332996972754
07/12/2022,1.3385668276972627
07/11/2022,1.3762855414398063
07/08/2022,1.3842239185750638
07/07/2022,1.3828164717844433
07/06/2022,1.3285147103736128
07/05/2022,1.3113410511218115
07/04/2022,1.3817916362498697
07/01/2022,1.383399209486166
06/30/2022,1.4948776918252142
06/29/2022,1.4972254214218406
06/28/2022,1.5051047258183348
06/27/2022,1.5013262599469497
06/24/2022,1.5348101265822784
06/23/2022,1.5299684542586753
06/22/2022,1.5573683652929335
06/21/2022,1.5938357610301876
06/20/2022,1.6322662173546756
06/17/2022,1.6637019985351051
06/16/2022,1.4763055584743092
06/15/2022,1.5135753666909393
06/14/2022,1.5888726818087102
06/13/2022,1.6689266715343696
06/10/2022,1.6573713564137638
06/09/2022,1.7270788912579957
06/08/2022,1.7287662407387523
06/07/2022,1.6951871657754007
06/06/2022,1.7110469468506044
06/03/2022,1.7256162915326905
06/02/2022,1.7270971894443254
06/01/2022,1.7098114413550654
05/31/2022,1.7111897865035939
05/30/2022,1.7466307277628033
05/27/2022,1.665952431969145
05/26/2022,1.6788242866337695
05/25/2022,1.6817939135077415
05/24/2022,1.6899141630901287
05/23/2022,1.6830519341739687
05/20/2022,1.6668424939339594
05/19/2022,1.6781365802011647
05/18/2022,1.647602056879001
05/17/2022,1.6536760058984623
05/16/2022,1.6385767790262171
05/13/2022,1.6394295825960237
05/12/2022,1.6036655211912942
05/11/2022,1.628887717448603
05/10/2022,1.6431430377080263
05/09/2022,1.6591172442852629
05/06/2022,1.6739061341243777
05/05/2022,1.6598382183002418
05/04/2022,1.6795183268194782
05/03/2022,1.6394306800210858
05/02/2022,1.6547594032359738
04/29/2022,1.6703551480661818
04/28/2022,1.6784173418920338
04/27/2022,1.6547217537942664
04/26/2022,1.67306052855925
04/25/2022,1.6822029358191366
04/22/2022,1.6815780963673603
04/21/2022,1.715526601520087
04/20/2022,1.6990554771468895
04/19/2022,1.7325129533678756
