Pricing Date,BP. | Share Price (Daily)($)
09/27/2022,4.63473633284954
09/26/2022,4.652735693879318
09/23/2022,4.734937519815457
09/22/2022,5.159252879386631
09/21/2022,5.160051651488379
09/20/2022,5.160341209743637
09/16/2022,5.163335237007425
09/15/2022,5.246253906968192
09/14/2022,5.347104952693794
09/13/2022,5.318499227950497
09/12/2022,5.358229566519989
09/09/2022,5.219888376832403
09/08/2022,5.091943454775313
09/07/2022,5.0611931225124165
09/06/2022,5.220128687069025
09/05/2022,5.33174537420602
09/02/2022,5.251400527802214
09/01/2022,5.087873056875317
08/31/2022,5.13885979002258
08/30/2022,5.240656058979981
08/26/2022,5.392607251395859
08/25/2022,5.429310833806013
08/24/2022,5.344795034573902
08/23/2022,5.445773420737563
08/22/2022,5.27961996143173
08/19/2022,5.289642789642789
08/18/2022,5.305294491856012
08/17/2022,5.19037810621665
08/16/2022,5.160626777179502
08/15/2022,5.138702704008309
08/12/2022,5.219547085636699
08/11/2022,5.221474542945423
08/10/2022,5.162946893652487
08/09/2022,5.107393663955134
08/08/2022,5.042637724695965
08/05/2022,4.952242149765728
08/04/2022,4.953560371517028
08/03/2022,4.97631193127431
08/02/2022,4.927977128614888
08/01/2022,4.816651730360804
07/29/2022,4.866949760911093
07/28/2022,4.722518676627534
07/27/2022,4.7349785020052755
07/26/2022,4.671531969124967
07/25/2022,4.654773941932688
07/22/2022,4.60940882197316
07/21/2022,4.5906226457962145
07/20/2022,4.654032296708036
07/19/2022,4.635952678657305
07/18/2022,4.584752266295746
07/15/2022,4.428696911426062
07/14/2022,4.295307557947411
07/13/2022,4.496525087319847
07/12/2022,4.489973325712108
07/11/2022,4.572692252817806
07/08/2022,4.651792483483159
07/07/2022,4.624017283802437
07/06/2022,4.388638230497256
07/05/2022,4.444312161438181
07/04/2022,4.862936537739392
07/01/2022,4.625563909774436
06/30/2022,4.718391153776049
06/29/2022,4.8209566756370155
06/28/2022,4.839417392894143
06/27/2022,4.818091218918021
06/24/2022,4.750316482922214
06/23/2022,4.605642264261982
