Pricing Date,EXE | Share Price (Daily)($)
10/10/2022,38.0998545807077
10/07/2022,38.61570045947796
10/06/2022,39.11547911547911
10/05/2022,39.43606428078478
10/04/2022,36.575642814430935
10/03/2022,33.64485981308412
09/30/2022,34.32045499117474
09/29/2022,35.35846845086931
09/28/2022,37.02989392478303
09/27/2022,37.33922057976579
09/26/2022,37.91240594250434
09/23/2022,37.62761302868255
09/22/2022,39.465933634400166
09/21/2022,39.79067930489732
09/20/2022,40.15582858855259
09/19/2022,40.74074074074075
09/16/2022,40.68951693726197
09/15/2022,40.679660169915046
09/14/2022,41
09/13/2022,41.224734840904546
09/12/2022,41.839732549893625
09/09/2022,41.566265060240966
09/08/2022,41.96570972886762
09/07/2022,42.19325306000597
09/06/2022,42.199108469539375
09/05/2022,42.65873015873016
09/02/2022,43.53932584269663
09/01/2022,43.03319419598489
08/31/2022,44.11320374660086
08/30/2022,43.37373535009517
08/29/2022,43.156843156843166
08/26/2022,44.07796101949025
08/25/2022,44.54853498106438
08/24/2022,44.60187587307923
08/23/2022,44.891021795640874
08/22/2022,44.88455414012739
08/19/2022,45.18072289156627
08/18/2022,46.02128737962494
08/17/2022,46.171056645987996
08/16/2022,45.89396560496591
08/15/2022,45.92200386925975
08/12/2022,46.75484466318056
08/11/2022,47.08798017348204
08/10/2022,48.3386812959321
08/09/2022,47.76516313797689
08/08/2022,47.93050587634133
08/05/2022,46.71947999187487
08/04/2022,46.1381074168798
08/03/2022,46.02128737962494
08/02/2022,46.39543183440399
08/01/2022,46.84610643106637
07/29/2022,46.715626274989795
07/28/2022,44.91413474240423
07/27/2022,44.78216818642351
07/26/2022,44.55696202531645
07/25/2022,45.13427958746043
07/22/2022,45.59394806787978
07/21/2022,45.2322738386308
07/20/2022,45.91836734693878
07/19/2022,45.97583452795413
07/18/2022,45.65792149684767
07/15/2022,45.30776992936428
07/14/2022,44.953944733680416
07/13/2022,45.30776992936428
07/12/2022,45.189210950080515
07/11/2022,45.37205081669691
07/08/2022,47.12468193384223
07/07/2022,46.771733604473816
07/06/2022,46.319861549424814
07/05/2022,46.40917938735785
07/04/2022,47.5544895192408
07/01/2022,47.6388599958394
06/30/2022,44.95086765628267
06/29/2022,45.02146372107633
06/28/2022,45.57415008946426
06/27/2022,45.835543766578255
06/24/2022,44.83122362869198
06/23/2022,45.74132492113565
06/22/2022,46.2972772539464
06/21/2022,47.287312645134044
06/20/2022,46.96714406065712
06/17/2022,47.92298838547661
06/16/2022,48.334559209835035
06/15/2022,48.47602205346926
06/14/2022,48.44759324859346
06/13/2022,47.147178470845944
06/10/2022,50.61559507523939
06/09/2022,52.77185501066098
06/08/2022,52.936755073553094
06/07/2022,55.18716577540106
06/06/2022,55.60902577264464
06/03/2022,54.01929260450161
06/02/2022,54.92383608667669
06/01/2022,54.96963886225631
05/31/2022,59.00654436219289
05/30/2022,62.31805929919137
05/27/2022,61.06706663809728
05/26/2022,61.14567689337052
05/25/2022,60.651361452215696
05/24/2022,61.158798283261795
05/23/2022,61.979055353708056
05/20/2022,61.39888173858002
05/19/2022,61.83165696135522
05/18/2022,61.49648441599329
05/17/2022,62.35517168738151
05/16/2022,62.005826050769876
05/13/2022,62.24627875507442
05/12/2022,62.06393835259814
05/11/2022,65.36636794939378
05/10/2022,63.19780914261639
05/09/2022,63.415148003792275
05/06/2022,67.38001906981673
05/05/2022,66.8137409391743
05/04/2022,67.18073307277913
05/03/2022,68.52925672113864
05/02/2022,67.03088884219373
04/29/2022,69.76499104225947
04/28/2022,70.08313164263915
04/27/2022,69.77234401349072
04/26/2022,73.95566922421143
04/25/2022,74.14550519661417
04/22/2022,75.23984046566778
04/21/2022,75.5700325732899
04/20/2022,69.91640429920747
04/19/2022,68.65284974093264
04/14/2022,68.95061061277423
04/13/2022,68.59871920112883
04/12/2022,70.83876575402
04/11/2022,71.41301981275855
04/08/2022,73.09114639982597
04/07/2022,74.36484570930105
04/06/2022,75.26178010471205
04/05/2022,75.40159545404873
04/04/2022,76.72859184346488
04/01/2022,77.0419426048565
03/31/2022,81.98178182626083
03/30/2022,82.8125
03/29/2022,82.36208236208236
03/28/2022,82.74802458296752
03/25/2022,80.43072189869244
03/24/2022,79.42794279427943
03/23/2022,75.91594234789305
03/22/2022,70.70484581497797
03/21/2022,70.68698917605478
03/18/2022,67.25663716814158
03/17/2022,66.90375639030896
03/16/2022,66.02839220864972
03/15/2022,66.35278659805103
03/14/2022,66.34446397188049
03/11/2022,64.81278738778191
03/10/2022,65.58098591549296
03/09/2022,67.58253933082207
03/08/2022,64.24915604922138
03/07/2022,63.205907906168555
03/04/2022,64.39641999563415
03/03/2022,65.2005746491325
03/02/2022,66.3338879645036
03/01/2022,66.91119261976215
02/28/2022,68.2762492981471
02/25/2022,68.7246507435782
02/24/2022,66.83747354350005
02/23/2022,71.26696832579185
02/22/2022,71.44477205715582
02/21/2022,73.69614512471655
02/18/2022,73.88939256572984
