Pricing Date,6752 | Share Price (Daily)($),"6752 | Volume (Daily)"
07/13/2022,8.089413135284694,4854200
07/12/2022,8.145014928868333,5643500
07/11/2022,8.300688811545239,4595400
07/08/2022,8.265373594886489,7560100
07/07/2022,8.22603193289677,7121500
07/06/2022,8.053112986611286,6535300
07/05/2022,8.094989061820968,5004500
07/04/2022,8.113724796604174,4614800
07/01/2022,7.987456734609355,5586800
06/30/2022,8.069026418426668,8276900
06/29/2022,8.155275867115469,11755500
06/28/2022,8.251999706465106,4904600
06/27/2022,8.264829708992163,4630500
06/24/2022,8.212313659309261,6388200
06/23/2022,8.157806753594116,6414100
06/22/2022,8.15755567826247,6103800
06/21/2022,8.160912788734048,6353800
06/20/2022,8.072100893855577,5926500
06/17/2022,8.23401469250061,9414600
06/16/2022,8.531583885710827,5507600
06/15/2022,8.22250981792217,7972400
06/14/2022,8.271083845794358,7137600
06/13/2022,8.337619548121147,8241600
06/10/2022,8.525288958111322,9484600
06/09/2022,8.711671999582316,9872700
06/08/2022,8.974588804732669,5951400
06/07/2022,9.139001879117645,4692200
06/06/2022,9.11017270973524,3663700
06/03/2022,9.236311900500251,6262500
06/02/2022,9.148408369541771,5900400
06/01/2022,9.180524667369506,6302400
05/31/2022,9.205769156008241,7739500
05/30/2022,9.401179755890935,12439100
05/27/2022,9.280605540824435,6796500
05/26/2022,9.116894130950325,5720800
05/25/2022,8.986600652284963,5070100
05/24/2022,9.120294631355161,3628900
05/23/2022,9.029495569402261,5157700
05/20/2022,8.93157413128319,7545300
05/19/2022,8.743619945033373,7204600
05/18/2022,8.90809529009813,5706000
05/17/2022,8.848086586780054,5114300
05/16/2022,8.759293680297397,5447300
05/13/2022,8.744370327952579,8328800
05/12/2022,8.716780680337907,11874900
05/11/2022,8.709209182302027,10366400
05/10/2022,8.867656651701777,11965000
05/09/2022,8.847178809777976,4919800
05/06/2022,8.959555323526702,8833800
05/02/2022,8.855638127994103,6047800
04/28/2022,8.873680990977213,6929600
04/27/2022,8.744619743304352,10728700
04/26/2022,8.961375412152615,5498600
04/25/2022,8.839194799091407,6710800
04/22/2022,8.973103994779287,4520200
04/21/2022,9.06747854795758,5979700
04/20/2022,8.925496947879166,6625200
04/19/2022,8.739940126744683,4837000
04/18/2022,8.84037617950579,2875800
04/15/2022,8.93471605875792,3246400
04/14/2022,8.957712924359738,6089600
04/13/2022,8.987181629389157,5676000
04/12/2022,8.940341794300233,5192900
04/11/2022,8.999354627954967,5431200
04/08/2022,9.0877652943873,7483400
04/07/2022,9.16453365846569,7062200
04/06/2022,9.46056213997754,7240300
04/05/2022,9.69362943751013,5698300
04/04/2022,9.643747657306758,4867900
04/01/2022,9.604344958431385,6692700
03/31/2022,9.787209512986479,7078300
03/30/2022,9.921660309257208,5220000
03/29/2022,9.9489920636214,7330600
03/28/2022,9.708580505040683,3688400
03/25/2022,9.908049368146726,3423600
03/24/2022,9.8555232677117,6092400
03/23/2022,10.041222294735277,6156800
03/22/2022,9.837751750223964,6151500
