Pricing Date,MG | Share Price (Daily)($)
10/07/2022,48.592285152682074
10/06/2022,50.96010202222627
10/05/2022,50.64068808144637
10/04/2022,51.518414182681674
10/03/2022,49.34632615501931
09/30/2022,47.729341927965336
09/29/2022,48.43344321596313
09/28/2022,50.467125879285035
09/27/2022,49.9440057012377
09/26/2022,51.07699492148737
09/23/2022,50.16438881271469
09/22/2022,52.348575745456166
09/21/2022,53.31622758600113
09/20/2022,54.361349702447875
09/19/2022,56.09691861996313
09/16/2022,54.854164155718934
09/15/2022,55.657390434927514
09/14/2022,56.525934311394074
09/13/2022,57.229305916514875
09/12/2022,59.89629481242922
09/09/2022,57.89380897265892
09/08/2022,56.200250083869584
09/07/2022,56.13166724868287
09/06/2022,54.76364522417154
09/02/2022,56.61256088808808
09/01/2022,56.87300864815658
08/31/2022,58.02144353864273
08/30/2022,58.7488722724284
08/29/2022,59.03103336971057
08/26/2022,59.15570976850106
08/25/2022,60.94818592790078
08/24/2022,59.59601408787195
08/23/2022,59.152535826026494
08/22/2022,57.908575896724344
08/19/2022,62.13702760705522
08/18/2022,63.176797504508755
08/17/2022,62.530952086170615
08/16/2022,64.59454631592844
08/15/2022,64.4918716519501
08/12/2022,65.1572464674253
08/11/2022,64.80015053392502
08/10/2022,64.20020057665789
08/09/2022,61.4250232846942
08/08/2022,62.51314037423785
08/05/2022,61.210459232938085
08/04/2022,62.02744329319518
08/03/2022,64.6150978275222
08/02/2022,63.38252798805014
07/29/2022,63.80007178190783
07/28/2022,63.662564262346166
07/27/2022,61.83158711680248
07/26/2022,60.30127354427138
07/25/2022,61.568151399134685
07/22/2022,61.34511292229204
07/21/2022,61.67725520312148
07/20/2022,61.11753790731438
07/19/2022,60.48199497534196
07/18/2022,56.923338801027505
07/15/2022,55.95464009403882
07/14/2022,54.16533479458727
07/13/2022,55.45909823984691
07/12/2022,56.816345376890226
07/11/2022,54.70693812153845
07/08/2022,56.32975475533502
07/07/2022,56.343019135365
07/06/2022,52.77862829148806
07/05/2022,54.698145851515015
07/04/2022,54.67046398112725
06/30/2022,54.87364620938629
06/29/2022,56.825320500391655
06/28/2022,57.89714587163792
06/27/2022,58.183428092086864
06/24/2022,57.76109003638616
06/23/2022,56.380394122864516
06/22/2022,56.3191910445915
06/21/2022,56.99341550412788
06/20/2022,56.71864657255892
06/17/2022,54.77846549822283
06/16/2022,54.632894167130566
06/15/2022,59.346378982810016
06/14/2022,57.377873729987385
06/13/2022,57.83479105928086
06/10/2022,61.20439752775803
06/09/2022,64.81942764057915
06/08/2022,66.68795656860004
06/07/2022,66.19984226752383
06/06/2022,66.81137296059536
06/03/2022,63.993133374660246
06/02/2022,66.19334651641134
06/01/2022,64.3222193258924
05/31/2022,64.84180590117313
05/30/2022,65.38680408460056
05/27/2022,63.848984363353914
05/26/2022,62.67405112800777
05/25/2022,61.4873869029528
05/24/2022,60.192709994011835
05/20/2022,61.42462125637731
05/19/2022,62.72492369183209
05/18/2022,61.66019591214298
05/17/2022,63.15559951095294
05/16/2022,59.64148487853247
05/13/2022,60.5406826582533
05/12/2022,56.84837872294671
05/11/2022,56.669680600313754
05/10/2022,57.42615320809204
05/09/2022,57.70666995172505
05/06/2022,59.86087902693039
05/05/2022,59.919753807798685
05/04/2022,62.36404886834083
05/03/2022,61.37802665088278
05/02/2022,60.67164700132654
04/29/2022,60.4079212247
04/28/2022,62.28519323840919
04/27/2022,60.896312736051094
04/26/2022,59.46967921373772
04/25/2022,62.18537394994168
04/22/2022,61.569955121643964
04/21/2022,64.16065335347095
04/20/2022,64.88699456003589
04/19/2022,63.513684744044596
04/18/2022,61.286638751427475
04/14/2022,60.70766157797119
04/13/2022,61.349936548223354
04/12/2022,60.85549793024693
04/11/2022,61.153187983267834
04/08/2022,61.16256533274024
04/07/2022,61.24116485137912
04/06/2022,61.46813917435152
04/05/2022,62.61838261260394
04/04/2022,64.5277548634081
04/01/2022,64.32963641161372
03/31/2022,64.28720183265784
03/30/2022,64.89696794825554
03/29/2022,66.5643583349319
03/28/2022,63.601593625498005
03/25/2022,63.37357687476497
03/24/2022,63.813496462781444
03/23/2022,63.138790715445595
03/22/2022,64.04417715292213
03/21/2022,62.54126068800954
03/18/2022,62.61138172745633
03/17/2022,61.22836439578521
03/16/2022,60.723311410049135
03/15/2022,58.24324429957242
03/14/2022,57.340114570517294
03/11/2022,58.2350951972758
03/10/2022,59.451088359287624
03/09/2022,59.491853424058924
03/08/2022,56.85932472768152
03/07/2022,57.47000407255411
03/04/2022,62.25473685859527
03/03/2022,66.52785336267343
03/02/2022,69.94078168180025
03/01/2022,68.33849377988923
02/28/2022,74.32048489440288
02/25/2022,75.86591214121452
02/24/2022,73.20546239738552
02/23/2022,75.2577481611869
02/22/2022,75.14015169359777
02/18/2022,77.50003922860864
02/17/2022,78.27737778267925
02/16/2022,79.72047805500627
02/15/2022,79.47891927481365
02/14/2022,76.57827390765075
02/11/2022,76.0945840462355
02/10/2022,81.4688908214088
02/09/2022,82.66125850286454
02/08/2022,80.67129083502414
02/07/2022,80.08173054166207
02/04/2022,79.52969928640248
02/03/2022,80.78128577406189
02/02/2022,82.39549839228296
02/01/2022,81.73092078302808
01/31/2022,80.45597743681601
01/28/2022,77.74895574555457
01/27/2022,78.9529569998191
01/26/2022,80.30917445025514
01/25/2022,77.94202646101711
01/24/2022,78.20735363736785
01/21/2022,78.6385913379416
01/20/2022,80.94817904700787
01/19/2022,84.73302581403344
01/18/2022,88.54943564790811
01/17/2022,89.61842063213064
01/14/2022,89.06069421751086
01/13/2022,89.58535237439229
01/12/2022,86.48035046205993
01/11/2022,85.24119554959913
01/10/2022,85.32824319101442
01/07/2022,85.41487337023905
01/06/2022,85.37351403131332
01/05/2022,85.52377803493691
01/04/2022,85.81590419086288
12/31/2021,80.87776276383062
12/30/2021,80.07852215670019
12/29/2021,79.83790367918046
12/24/2021,79.63137811834291
12/23/2021,79.49082167832168
12/22/2021,78.18849944723854
12/21/2021,77.32704280908001
12/20/2021,75.61538877432012
12/17/2021,77.78748907479087
12/16/2021,77.57865080607293
12/15/2021,77.24477625811248
12/14/2021,77.09967625451374
12/13/2021,77.4989266617228
12/10/2021,79.87479256620186
12/09/2021,79.39512970783758
12/08/2021,80.65766164747563
12/07/2021,80.95844170217475
12/06/2021,79.23595575927287
12/03/2021,77.25593420240726
12/02/2021,78.54326866778563
12/01/2021,75.63486401091362
11/30/2021,74.7970909204534
11/29/2021,78.46800925636376
11/26/2021,80.10634970284642
11/25/2021,82.8117591275486
11/24/2021,82.48667850799289
11/23/2021,83.47099636569594
11/22/2021,84.44728353877335
11/19/2021,85.91035372523568
11/18/2021,87.58656167148115
11/17/2021,87.91479162202273
11/16/2021,88.41764687131428
11/15/2021,88.52548073466323
11/12/2021,86.34330377751954
11/11/2021,84.40501060424329
11/10/2021,83.80364349685657
11/09/2021,83.82393044482588
11/08/2021,85.33939705598765
11/05/2021,83.21414222579351
11/04/2021,83.90530549334103
11/03/2021,83.76364441938213
11/02/2021,82.25777863714733
11/01/2021,82.63901247350793
10/29/2021,81.1959607691315
10/28/2021,80.8545137622117
10/27/2021,79.5839341553118
10/26/2021,79.9011132834591
10/25/2021,80.66067862657752
10/22/2021,80.24616479455268
10/21/2021,83.30295444787387
10/20/2021,84.56294131969808
10/19/2021,83.05403086089927
10/18/2021,83.52060530612904
10/15/2021,86.15588572906731
10/14/2021,84.96446675883482
10/13/2021,84.14473472797968
10/12/2021,84.15320734714203
10/08/2021,82.9657904444195
10/07/2021,81.90593092674219
10/06/2021,77.49503642591024
10/05/2021,79.4245108661016
10/04/2021,77.42914577655594
10/01/2021,76.56865142920259
09/30/2021,75.38872807225674
09/29/2021,75.98860524064759
09/28/2021,76.46419114865716
09/27/2021,78.44579418556832
