Pricing Date,PIRC | Share Price (Daily)($)
09/14/2021,6.16294194158685
09/13/2021,6.200708382526564
09/10/2021,6.056304707830613
09/09/2021,6.116034503131277
09/08/2021,6.0680529300567105
09/07/2021,6.10229694529955
09/06/2021,6.111506524317912
09/03/2021,6.089126559714795
09/02/2021,6.139976275207592
09/01/2021,6.096953893564063
08/31/2021,5.989140698772427
08/30/2021,6.075053103611045
08/27/2021,6.124277797429548
08/26/2021,6.059037986592967
08/25/2021,6.065092233580073
08/24/2021,6.098707403055229
08/23/2021,6.063592631702453
08/20/2021,6.058411214953271
08/19/2021,6.118966927661563
08/18/2021,6.287453183520598
08/17/2021,6.225398313027179
08/16/2021,6.3909508660304
08/13/2021,6.426717016757139
08/12/2021,6.387422269154054
08/11/2021,6.37483863396315
08/10/2021,6.3336850744518705
